DGNOXTCH Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/25/2008,8/25/2008,9/25/2008,10/25/2008,11/25/2008,12/25/2008,1/25/2009,2/25/2009,3/25/2009,4/25/2009,5/25/2009,6/25/2009,7/25/2009,8/25/2009,9/25/2009,10/25/2009,11/25/2009,12/25/2009,1/25/2010,2/25/2010,3/25/2010,4/25/2010,5/25/2010,6/25/2010,7/25/2010,8/25/2010,9/25/2010,10/25/2010,11/25/2010,12/25/2010,1/25/2011,2/25/2011,3/25/2011,4/25/2011,5/25/2011,6/25/2011,7/25/2011,8/25/2011,9/25/2011,10/25/2011,11/25/2011,12/25/2011,1/25/2012,2/25/2012,3/25/2012,4/25/2012,5/25/2012,6/25/2012,7/25/2012,8/25/2012,9/25/2012,10/25/2012,11/25/2012,12/25/2012,1/25/2013,2/25/2013,3/25/2013,4/25/2013,5/25/2013,6/25/2013
Actual Direction,1,1,-1,1,-1,1,-1,-1,1,1,1,1,1,-1,-1,1,-1,1,1,-1,1,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,1,1
 BNP Paribas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Briefing.com,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,-1,0,0,-1
 DZ Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
 Goldman Sachs & Co.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1
 Intesa Sanpaolo,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,1,-1,1,-1,-1,1,1
 Merrill Lynch/BAS,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Nomura Securities Intl Inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 Pierian Capital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 RBC Capital Markets,0,0,0,0,0,0,0,-1,1,-1,0,0,0,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Stone & McCarthy Research,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Chester HBOS Treasury Services,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Zatlin Southbay Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1
Annalisa Piazza Newedge,1,1,-1,1,-1,0,0,0,-1,1,1,0,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,-1,-1,-1,-1,0,-1,-1,0,-1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avery Shenfeld CIBC World Markets,1,1,-1,-1,-1,1,-1,-1,1,1,-1,-1,1,-1,-1,1,-1,-1,0,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,1
Bantleon Bank AG Bantleon Bank AG,1,0,-1,1,-1,1,-1,-1,1,1,-1,1,1,-1,-1,-1,-1,1,-1,0,-1,0,-1,-1,0,-1,0,-1,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,-1,-1,-1,0,-1
Bayer/Heidrich/Riefer Deutsche Postbank AG,0,0,0,0,0,0,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,-1,1,-1
Bernd Krampen Nord/LB,1,1,0,-1,0,1,-1,-1,0,0,0,-1,-1,-1,-1,1,0,-1,1,-1,0,0,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,1,1
Besch/Luetje DekaBank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,1,-1,0,-1,-1,0,0,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,1,0,0,0,1,0,0,1,1
Beth Ann Bovino Standard & Poor's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bill Cheney John Hancock Financial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,-1,1
Brian M. Jones Societe Generale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,1,1
Brian Mandt Deutsche Postbank AG,1,1,-1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian Reicherter DZ Bank,1,1,-1,1,-1,1,-1,-1,0,0,0,-1,-1,-1,-1,1,-1,-1,-1,0,-1,-1,0,0,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,0,0,-1,1,-1,1,0,1,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0
Christiane Von Berg Bayerische Landesbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,1,-1
Christoph Schroeter Bayerische Landesbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,0,1,1,-1,1,-1,1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
Christopher Low FTN Financial,1,1,-1,1,0,0,-1,-1,1,1,1,0,1,-1,-1,1,-1,0,0,-1,-1,-1,0,-1,-1,-1,1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1
Claudia Windt Helaba,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
